rank,ticker,sector,official_model_weighting,candidate_category,candidate_label,lbo_status,lbo_rating,final_score,nlp_stagnation_score,financial_feasibility_score,fcf_margin,fcf,debt_to_ebitda,interest_coverage,capex_to_ebitda,fcf_to_debt,has_market_data,market_pressure_score,validation_score,validation_label,strong_validation_label,relative_return_vs_spy,max_drawdown_since_ranking,volatility_since_ranking,event_type,event_score,event_date,event_summary,source,notes,model_explanation
1,MSI,Information Technology,70% NLP stagnation / 30% financial feasibility,Strong candidate,Strong candidate,Pass,Ideal,0.8863,0.8934,0.91,0.1795,1791000000.0,0.495,9.213,0.095,1.364,0,,1.0,1,0,,,,major_acquisition_buyer,1,2025-05-27,"Motorola Solutions agreed to acquire Silvus Technologies for about $4.4B. Buyer-side strategic acquisition, so weak validation only.",Reuters / company release,"Buyer-side event, not direct LBO evidence.",MSI ranks #1 under the official 70/30 NLP-finance model. NLP stagnation score is 0.893. Financial feasibility score is 0.910. Final score is 0.886. Manual event validation records 'major_acquisition_buyer' with event score 1. Market validation data is not currently available.
2,SNPS,Information Technology,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,"High NLP signal, financial caution",Fail,Marginal,0.8863,0.8934,0.685,0.2846,1513656000.0,8.869,378.377,0.125,0.112,0,,2.0,1,1,,,,acquisition_divestiture,2,2025-03-05,"Synopsys Ansys acquisition required regulatory remedies and divestitures, showing major strategic portfolio activity.",Reuters / regulator releases,Strategic transaction with divestiture relevance.,SNPS ranks #2 under the official 70/30 NLP-finance model. NLP stagnation score is 0.893. Financial feasibility score is 0.685. Final score is 0.886. Manual event validation records 'acquisition_divestiture' with event score 2. Market validation data is not currently available.
3,EL,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Strong candidate,Pass,Attractive,0.8863,0.8934,0.73,0.0458,728000000.0,0.224,9.036,0.445,1.444,0,,2.0,1,1,,,,restructuring_layoffs,2,2025-02-04,Estee Lauder announced a major restructuring and job-cut program amid weak sales and business reset efforts.,Reuters / company releases,Clear restructuring evidence.,EL ranks #3 under the official 70/30 NLP-finance model. NLP stagnation score is 0.893. Financial feasibility score is 0.730. Final score is 0.886. Manual event validation records 'restructuring_layoffs' with event score 2. Market validation data is not currently available.
4,EME,Industrials,70% NLP stagnation / 30% financial feasibility,High-priority candidate,Strong candidate,Pass,Ideal,0.885,0.885,0.885,0.0653,821251000.0,0.0,50.919,0.085,,1,2.0,3.0,1,1,0.7298,-0.3619,0.4378,major_acquisition_buyer,1,2025-01-14,"EMCOR announced an agreement to acquire Miller Electric, expanding electrical capabilities.",EMCOR release,Buyer-side strategic acquisition.,EME ranks #4 under the official 70/30 NLP-finance model. NLP stagnation score is 0.885. Financial feasibility score is 0.885. Final score is 0.885. Manual event validation records 'major_acquisition_buyer' with event score 1. The company shows 2 market-pressure signal(s). Maximum drawdown was -36.2%. Relative return vs SPY was 73.0%.
5,COST,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Fail,Marginal,0.7887,0.7668,0.84,0.0278,6745000000.0,0.751,50.712,0.424,0.881,0,,1.0,1,0,,,,external_pressure,1,2025-01-28,Costco faced political and legal pressure over DEI policies and related shareholder scrutiny.,Reuters,"External governance pressure, not LBO-specific.",COST ranks #5 under the official 70/30 NLP-finance model. NLP stagnation score is 0.767. Financial feasibility score is 0.840. Final score is 0.789. Manual event validation records 'external_pressure' with event score 1. Market validation data is not currently available.
6,QCOM,Information Technology,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Pass,Ideal,0.7873,0.7155,0.955,0.275,9849000000.0,0.142,11.222,0.151,7.221,0,,1.0,1,0,,,,acquisition_exploration,1,2024-09-20,Qualcomm approached Intel about a possible takeover and explored acquiring parts of Intel.,Reuters,Buyer-side strategic activity.,QCOM ranks #6 under the official 70/30 NLP-finance model. NLP stagnation score is 0.715. Financial feasibility score is 0.955. Final score is 0.787. Manual event validation records 'acquisition_exploration' with event score 1. Market validation data is not currently available.
7,DOV,Industrials,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Pass,Ideal,0.7866,0.7551,0.86,0.1348,1036140000.0,1.921,11.469,0.12,0.354,0,,2.0,1,1,,,,restructuring,2,2025-12-31,Dover disclosed restructuring programs including headcount and cost-structure actions.,Dover annual report,Clear restructuring evidence.,DOV ranks #7 under the official 70/30 NLP-finance model. NLP stagnation score is 0.755. Financial feasibility score is 0.860. Final score is 0.787. Manual event validation records 'restructuring' with event score 2. Market validation data is not currently available.
8,DXCM,Health Care,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Pass,Attractive,0.7741,0.7523,0.825,0.1413,511900000.0,0.006,31.793,0.302,111.283,0,,2.0,1,1,,,,restructuring_market_pressure,2,2024-07-25,"Dexcom cut revenue guidance, citing sales-team restructuring and lower customer metrics; shares fell sharply.",Reuters,Market pressure plus restructuring.,DXCM ranks #8 under the official 70/30 NLP-finance model. NLP stagnation score is 0.752. Financial feasibility score is 0.825. Final score is 0.774. Manual event validation records 'restructuring_market_pressure' with event score 2. Market validation data is not currently available.
9,PLTR,Information Technology,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Pass,Ideal,0.7721,0.7045,0.93,0.3133,697069000.0,1.291,32.958,0.099,3.521,0,,0.0,0,0,,,,none,0,,"No clear restructuring, activist, divestiture, strategic review, or LBO-relevant pressure found in rapid validation scan.",Rapid news scan,Recent news mostly positive demand and contract momentum.,PLTR ranks #9 under the official 70/30 NLP-finance model. NLP stagnation score is 0.704. Financial feasibility score is 0.930. Final score is 0.772. Market validation data is not currently available.
10,KLAC,Information Technology,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Pass,Attractive,0.7709,0.752,0.815,0.3171,3328214000.0,4.108,6.46,0.239,0.566,0,,0.0,0,0,,,,none,0,,"No clear restructuring, activist, divestiture, strategic review, or LBO-relevant pressure found in rapid validation scan.",Rapid news scan,Recent news mostly positive AI-linked demand.,KLAC ranks #10 under the official 70/30 NLP-finance model. NLP stagnation score is 0.752. Financial feasibility score is 0.815. Final score is 0.771. Market validation data is not currently available.
11,MPC,Energy,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Pass,Ideal,0.7705,0.7193,0.89,0.0824,12227000000.0,0.171,27.646,0.106,4.01,0,,1.0,1,0,,,,management_change,1,2024-05-13,"Marathon Petroleum named Maryann Mannen CEO, with prior CEO moving to executive chairman.",Reuters,Management transition.,MPC ranks #11 under the official 70/30 NLP-finance model. NLP stagnation score is 0.719. Financial feasibility score is 0.890. Final score is 0.771. Manual event validation records 'management_change' with event score 1. Market validation data is not currently available.
12,DHR,Health Care,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Ideal,0.7674,0.6999,0.925,0.242,5781000000.0,0.086,22.519,0.235,11.448,0,,1.0,1,0,,,,legal_market_pressure,1,2026-04-23,Danaher reached a large shareholder settlement over allegations tied to post-pandemic demand statements.,Reuters,Legal and market pressure.,DHR ranks #12 under the official 70/30 NLP-finance model. NLP stagnation score is 0.700. Financial feasibility score is 0.925. Final score is 0.767. Manual event validation records 'legal_market_pressure' with event score 1. Market validation data is not currently available.
13,TDY,Information Technology,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Pass,Attractive,0.766,0.7429,0.82,0.128,721200000.0,1.961,11.392,0.085,0.272,0,,1.0,1,0,,,,financial_pressure,1,2024-04-24,Teledyne cut its 2024 profit forecast after missing Q1 estimates due to weak sales.,Reuters,Financial pressure.,TDY ranks #13 under the official 70/30 NLP-finance model. NLP stagnation score is 0.743. Financial feasibility score is 0.820. Final score is 0.766. Manual event validation records 'financial_pressure' with event score 1. Market validation data is not currently available.
14,UNH,Health Care,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Fail,Situational,0.7634,0.7027,0.905,0.0691,25682000000.0,0.125,9.969,0.093,5.651,0,,2.0,1,1,,,,operational_pressure,2,2025-04-17,UnitedHealth lowered outlook due to higher medical costs and faced operational and regulatory scrutiny.,Reuters,Strong operational pressure.,UNH ranks #14 under the official 70/30 NLP-finance model. NLP stagnation score is 0.703. Financial feasibility score is 0.905. Final score is 0.763. Manual event validation records 'operational_pressure' with event score 2. Market validation data is not currently available.
15,MOS,Materials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Fail,Marginal,0.7626,0.7831,0.715,0.0734,1004800000.0,1.661,7.08,0.61,0.263,0,,2.0,1,1,,,,restructuring_asset_action,2,2026-04-08,Mosaic faced demand and profit pressure and announced facility idling plus asset-sale actions.,Reuters / company release,Asset action and restructuring pressure.,MOS ranks #15 under the official 70/30 NLP-finance model. NLP stagnation score is 0.783. Financial feasibility score is 0.715. Final score is 0.763. Manual event validation records 'restructuring_asset_action' with event score 2. Market validation data is not currently available.
16,AMD,Information Technology,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Fail,Marginal,0.757,0.7471,0.78,0.0494,1121000000.0,0.392,3.783,0.648,3.397,0,,2.0,1,1,,,,layoffs_divestiture,2,2024-11-13,AMD cut about 4% of its workforce to focus on AI chips and later moved to sell ZT Systems manufacturing assets.,Reuters,Layoffs plus portfolio action.,AMD ranks #16 under the official 70/30 NLP-finance model. NLP stagnation score is 0.747. Financial feasibility score is 0.780. Final score is 0.757. Manual event validation records 'layoffs_divestiture' with event score 2. Market validation data is not currently available.
17,GILD,Health Care,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Ideal,0.7548,0.6755,0.94,0.2737,7421000000.0,0.228,7.597,0.074,4.089,0,,2.0,1,1,,,,restructuring_layoffs,2,2025-03-31,Gilead disclosed restructuring charges and had layoff rounds.,SEC filing / biotech news,Restructuring evidence.,GILD ranks #17 under the official 70/30 NLP-finance model. NLP stagnation score is 0.675. Financial feasibility score is 0.940. Final score is 0.755. Manual event validation records 'restructuring_layoffs' with event score 2. Market validation data is not currently available.
